iteration,seed,dropout,rnn_dropout,last_perf,min_perf,time
in,in,in,in,out,out,out
int,float,float,float,float,float,float
43,3380478877,0.1,0.075,1.292709744,1.189588594,51.937962
44,3380478877,0.125,0.075,1.299997866,1.176173317,50.686549
45,3380478877,0.15,0.075,1.339325142,1.152888262,51.890825
46,3380478877,0.175,0.075,1.345065081,1.251112676,52.271228
47,3380478877,0.2,0.075,1.37162149,1.210924423,51.582974
48,3380478877,0.225,0.075,1.423862851,1.212628436,48.696615
49,3380478877,0.25,0.075,1.367685235,1.160247552,53.195786
50,3380478877,0.275,0.075,1.430864954,1.279528558,47.587852
51,3380478877,0.3,0.075,1.442150533,1.231243324,47.222677
52,3380478877,0,0.1,1.280350924,1.143748772,45.444109
53,3380478877,0.025,0.1,1.214426112,1.086555064,57.353528
54,3380478877,0.05,0.1,1.307942259,1.177370739,54.68096
55,3380478877,0.075,0.1,1.222255528,1.137058783,53.703983
56,3380478877,0.1,0.1,1.28481617,1.100462866,51.16549
57,3380478877,0.125,0.1,1.334234571,1.233825111,52.067673
58,3380478877,0.15,0.1,1.294263852,1.174019468,51.345938
59,3380478877,0.175,0.1,1.388032579,1.236605871,50.253693
60,3380478877,0.2,0.1,1.421229386,1.263796341,54.968785
61,3380478877,0.225,0.1,1.401374602,1.200940049,56.390704
62,3380478877,0.25,0.1,1.506302154,1.278726041,48.079899
63,3380478877,0.275,0.1,1.498622119,1.297977078,47.210265
64,3380478877,0.3,0.1,1.406573129,1.258661687,46.040416
65,3380478877,0,0.125,1.194950235,1.037140989,53.796086
66,3380478877,0.025,0.125,1.211493933,1.123558068,61.112158
67,3380478877,0.05,0.125,1.272573352,1.103780031,56.374089
68,3380478877,0.075,0.125,1.187594914,1.068405211,59.98524
69,3380478877,0.1,0.125,1.217278743,1.083461154,56.277133
70,3380478877,0.125,0.125,1.332350409,1.206248987,50.66747
71,3380478877,0.15,0.125,1.35029856,1.169755077,52.930678
72,3380478877,0.175,0.125,1.33596909,1.160889137,52.435944
73,3380478877,0.2,0.125,1.439080954,1.22111907,45.995941
74,3380478877,0.225,0.125,1.356187701,1.184242558,54.095592
75,3380478877,0.25,0.125,1.442802727,1.274015415,55.235653
76,3380478877,0.275,0.125,1.39710474,1.203127348,48.672869
77,3380478877,0.3,0.125,1.411386192,1.21254766,45.967966
78,3380478877,0,0.15,1.169048059,1.047389114,51.565003
79,3380478877,0.025,0.15,1.21485914,1.08642056,56.781475
80,3380478877,0.05,0.15,1.234531963,1.097080958,54.479223
81,3380478877,0.075,0.15,1.296858644,1.182009363,63.524253
82,3380478877,0.1,0.15,1.252174568,1.115370262,57.452582
83,3380478877,0.125,0.15,1.330689919,1.236832762,50.316133
84,3380478877,0.15,0.15,1.307134295,1.177308607,48.472092
85,3380478877,0.175,0.15,1.40053786,1.275771105,46.589397
86,3380478877,0.2,0.15,1.393337476,1.250562751,48.548008
87,3380478877,0.225,0.15,1.381697083,1.233743119,49.499455
88,3380478877,0.25,0.15,1.376436889,1.18389262,44.723912
89,3380478877,0.275,0.15,1.398329806,1.225432062,48.008688
90,3380478877,0.3,0.15,1.352772021,1.243614876,46.839848
91,3380478877,0,0.175,1.295916915,1.170900357,40.402841
92,3380478877,0.025,0.175,1.24506526,1.143416929,48.838874
93,3380478877,0.05,0.175,1.301261473,1.223456252,45.806988
94,3380478877,0.075,0.175,1.295637608,1.197816575,47.260087
95,3380478877,0.1,0.175,1.285452914,1.158317125,46.410463
96,3380478877,0.125,0.175,1.332644427,1.207303226,46.463238
97,3380478877,0.15,0.175,1.308091795,1.187286747,51.634304
98,3380478877,0.175,0.175,1.353232479,1.183610141,47.130724
99,3380478877,0.2,0.175,1.348093426,1.222215986,50.718084
100,3380478877,0.225,0.175,1.386143279,1.220574403,46.869474
101,3380478877,0.25,0.175,1.457977688,1.223657513,42.529809
102,3380478877,0.275,0.175,1.427327394,1.236515498,45.60485
103,3380478877,0.3,0.175,1.353777587,1.236472166,47.605193
104,3380478877,0,0.2,1.292391813,1.210799682,38.975437
105,3380478877,0.025,0.2,1.219269419,1.077140689,52.898709
106,3380478877,0.05,0.2,1.300169396,1.148436236,48.548032
107,3380478877,0.075,0.2,1.211766434,1.099664545,51.79651
108,3380478877,0.1,0.2,1.199152553,1.074308854,55.245849
109,3380478877,0.125,0.2,1.312569344,1.184253931,47.276373
110,3380478877,0.15,0.2,1.301828384,1.164271891,46.867745
111,3380478877,0.175,0.2,1.326618683,1.164201522,47.149408
112,3380478877,0.2,0.2,1.293323863,1.1857463,48.724445
113,3380478877,0.225,0.2,1.391804039,1.23280648,46.167325
114,3380478877,0.25,0.2,1.362900567,1.206295669,54.986752
115,3380478877,0.275,0.2,1.36815691,1.19897809,48.599559
116,3380478877,0.3,0.2,1.363586092,1.228914535,47.380797
117,3380478877,0,0.225,1.153064942,1.043509519,48.448729
118,3380478877,0.025,0.225,1.153189743,1.061531925,52.732262
119,3380478877,0.05,0.225,1.212878764,1.109229267,55.256332
120,3380478877,0.075,0.225,1.26558342,1.198356044,48.699047
121,3380478877,0.1,0.225,1.232176054,1.146738636,52.151515
122,3380478877,0.125,0.225,1.315330255,1.148174727,50.154012
123,3380478877,0.15,0.225,1.299643326,1.139650178,47.342991
124,3380478877,0.175,0.225,1.347166002,1.225576019,43.242525
125,3380478877,0.2,0.225,1.327864659,1.147454727,53.090003
126,3380478877,0.225,0.225,1.414377582,1.290454173,47.229587
127,3380478877,0.25,0.225,1.410231745,1.201619112,54.427919
128,3380478877,0.275,0.225,1.392000604,1.22969377,43.499741
129,3380478877,0.3,0.225,1.413029408,1.209420002,42.660061
130,3380478877,0,0.25,1.276281416,1.157482326,42.06206
131,3380478877,0.025,0.25,1.152262878,1.054516733,51.301471
132,3380478877,0.05,0.25,1.296192563,1.19270035,53.573486
133,3380478877,0.075,0.25,1.207787752,1.08878262,54.11718
134,3380478877,0.1,0.25,1.330926669,1.169662678,45.277801
135,3380478877,0.125,0.25,1.42221266,1.215625668,45.414539
136,3380478877,0.15,0.25,1.31067729,1.177905667,51.418112
137,3380478877,0.175,0.25,1.335388815,1.188834786,50.585536
138,3380478877,0.2,0.25,1.440344906,1.26510675,45.213003
139,3380478877,0.225,0.25,1.426966882,1.270235336,44.995488
140,3380478877,0.25,0.25,1.422815323,1.245789528,45.728107
141,3380478877,0.275,0.25,1.398477018,1.227414668,48.626419
142,3380478877,0.3,0.25,1.383653498,1.195650899,44.16206
143,3380478877,0,0.275,1.294838214,1.177113354,41.329956
144,3380478877,0.025,0.275,1.187411761,1.096260667,56.90641
145,3380478877,0.05,0.275,1.329715824,1.241065657,48.450004
146,3380478877,0.075,0.275,1.264333713,1.148018849,48.327001
147,3380478877,0.1,0.275,1.31698823,1.216126561,49.434517
148,3380478877,0.125,0.275,1.302855945,1.181388795,47.387185
149,3380478877,0.15,0.275,1.354722714,1.219653618,47.067496
150,3380478877,0.175,0.275,1.348882914,1.217157876,47.009842
151,3380478877,0.2,0.275,1.380930507,1.258081543,49.866896
152,3380478877,0.225,0.275,1.362019014,1.203245115,48.654571
153,3380478877,0.25,0.275,1.502093434,1.252764094,43.398884
154,3380478877,0.275,0.275,1.496745861,1.303385615,48.493004
155,3380478877,0.3,0.275,1.442085516,1.24109329,46.437992
156,3380478877,0,0.3,1.278947544,1.139066923,41.793711
157,3380478877,0.025,0.3,1.22013458,1.142122245,52.220568
158,3380478877,0.05,0.3,1.327093065,1.23441782,54.392637
159,3380478877,0.075,0.3,1.237702048,1.134516358,52.446687
160,3380478877,0.1,0.3,1.316617346,1.21763469,46.120116
161,3380478877,0.125,0.3,1.319754028,1.177286422,52.039902
162,3380478877,0.15,0.3,1.347576499,1.186950266,49.837053
163,3380478877,0.175,0.3,1.359256005,1.220933604,44.701679
164,3380478877,0.2,0.3,1.324640095,1.2225106,51.420331
165,3380478877,0.225,0.3,1.387385261,1.268351793,47.765806
166,3380478877,0.25,0.3,1.407175457,1.233909297,46.887231
167,3380478877,0.275,0.3,1.436853898,1.284479403,43.694426
168,3380478877,0.3,0.3,1.425790691,1.219696748,46.316803
0,153318375,0,0,1.188657284,1.078802168,47.312728
1,153318375,0.025,0,1.201196384,1.11894716,49.208816
2,153318375,0.05,0,1.313255453,1.2128268,38.440247
3,153318375,0.075,0,1.266573322,1.116732442,43.466325
4,153318375,0.1,0,1.222347486,1.091948164,39.612969
5,153318375,0.125,0,1.255258369,1.164679658,42.431324
6,153318375,0.15,0,1.295325983,1.184930778,41.402183
7,153318375,0.175,0,1.26520977,1.157803822,46.002056
8,153318375,0.2,0,1.312681544,1.202476442,45.44609
9,153318375,0.225,0,1.334237254,1.213134766,38.933623
10,153318375,0.25,0,1.340124857,1.248165655,40.083937
11,153318375,0.275,0,1.34086926,1.219469309,42.930427
12,153318375,0.3,0,1.361278784,1.230553818,40.340821
13,153318375,0,0.025,1.184858656,1.091920924,45.938073
14,153318375,0.025,0.025,1.318869245,1.215026331,44.039154
15,153318375,0.05,0.025,1.291933799,1.175228739,42.515515
16,153318375,0.075,0.025,1.223829687,1.126899874,44.077344
17,153318375,0.1,0.025,1.238917112,1.148100305,46.386602
18,153318375,0.125,0.025,1.216867685,1.124700022,46.619232
19,153318375,0.15,0.025,1.239703763,1.102539718,44.761861
20,153318375,0.175,0.025,1.249349678,1.152046156,43.437308
21,153318375,0.2,0.025,1.260943556,1.168650949,43.545538
22,153318375,0.225,0.025,1.283103585,1.155576241,43.404684
23,153318375,0.25,0.025,1.272746623,1.116248524,45.39895
24,153318375,0.275,0.025,1.307764328,1.151709807,42.867772
25,153318375,0.3,0.025,1.344843149,1.15870055,45.041981
26,153318375,0,0.05,1.231177104,1.136312783,67.518689
27,153318375,0.025,0.05,1.26703589,1.1709723,43.038415
28,153318375,0.05,0.05,1.234093809,1.130703962,43.36586
29,153318375,0.075,0.05,1.240130973,1.17305218,44.135108
30,153318375,0.1,0.05,1.260201335,1.139402306,45.239754
31,153318375,0.125,0.05,1.260149026,1.151388431,43.758105
32,153318375,0.15,0.05,1.253995001,1.137862837,44.321009
33,153318375,0.175,0.05,1.216716957,1.104889405,44.626664
34,153318375,0.2,0.05,1.272863972,1.173430836,41.163685
35,153318375,0.225,0.05,1.286416078,1.123024142,47.629606
36,153318375,0.25,0.05,1.290280962,1.128756464,44.043823
37,153318375,0.275,0.05,1.31615423,1.203619087,45.401896
38,153318375,0.3,0.05,1.362778711,1.173707104,45.690878
39,153318375,0,0.075,1.224266875,1.12802788,44.583539
40,153318375,0.025,0.075,1.288138461,1.192809987,43.245985
41,153318375,0.05,0.075,1.248070312,1.149967206,50.994446
42,153318375,0.075,0.075,1.230149019,1.148568332,46.18702
43,153318375,0.1,0.075,1.202561069,1.095495152,54.096493
44,153318375,0.125,0.075,1.202117908,1.104942679,47.11572
45,153318375,0.15,0.075,1.261467659,1.131927431,45.102372
46,153318375,0.175,0.075,1.244765806,1.15609467,44.923561
47,153318375,0.2,0.075,1.196739101,1.104501307,51.693934
48,153318375,0.225,0.075,1.284475517,1.159519041,42.59492
49,153318375,0.25,0.075,1.302860796,1.167723417,43.317796
50,153318375,0.275,0.075,1.29308784,1.186304176,43.677921
51,153318375,0.3,0.075,1.336889851,1.192673719,41.299615
52,153318375,0,0.1,1.184535885,1.071770012,43.356937
53,153318375,0.025,0.1,1.296769726,1.214304531,43.404922
54,153318375,0.05,0.1,1.260058093,1.138956809,43.484896
55,153318375,0.075,0.1,1.272770607,1.16557492,45.952096
56,153318375,0.1,0.1,1.251266754,1.170034909,44.941412
57,153318375,0.125,0.1,1.223835802,1.111849546,44.803469
58,153318375,0.15,0.1,1.24849596,1.131648171,43.924754
59,153318375,0.175,0.1,1.188601768,1.105601537,48.200367
60,153318375,0.2,0.1,1.273574817,1.115730131,41.695476
61,153318375,0.225,0.1,1.259899998,1.147076118,44.902449
62,153318375,0.25,0.1,1.308837867,1.166339183,41.343591
63,153318375,0.275,0.1,1.332233477,1.182221711,41.889456
64,153318375,0.3,0.1,1.337264907,1.181178117,39.437208
65,153318375,0,0.125,1.267406952,1.180285156,45.055386
66,153318375,0.025,0.125,1.29294188,1.182375538,41.963387
67,153318375,0.05,0.125,1.262708521,1.124070704,40.727812
68,153318375,0.075,0.125,1.220353067,1.09186244,44.319624
69,153318375,0.1,0.125,1.23744688,1.101724434,45.480248
70,153318375,0.125,0.125,1.238300395,1.132177532,44.185686
71,153318375,0.15,0.125,1.256244576,1.134503365,43.030042
72,153318375,0.175,0.125,1.266295755,1.141528785,43.247972
73,153318375,0.2,0.125,1.245049977,1.148281538,42.269311
74,153318375,0.225,0.125,1.273652935,1.135565519,42.527226
75,153318375,0.25,0.125,1.308589482,1.161166131,41.111663
76,153318375,0.275,0.125,1.32925638,1.16129396,40.827756
77,153318375,0.3,0.125,1.333039677,1.132005799,42.474223
78,153318375,0,0.15,1.153797746,1.042730868,45.649194
79,153318375,0.025,0.15,1.293376839,1.178321135,40.699821
80,153318375,0.05,0.15,1.208651233,1.119338989,45.363286
81,153318375,0.075,0.15,1.17317344,1.078683341,50.980464
82,153318375,0.1,0.15,1.26906966,1.16348623,43.176995
83,153318375,0.125,0.15,1.257052374,1.142136395,45.212351
84,153318375,0.15,0.15,1.232987225,1.134085941,44.18467
85,153318375,0.175,0.15,1.234195924,1.094071901,43.547875
86,153318375,0.2,0.15,1.26531297,1.064167178,43.8388
87,153318375,0.225,0.15,1.254147255,1.072143888,43.994731
88,153318375,0.25,0.15,1.298426163,1.095186114,43.197008
89,153318375,0.275,0.15,1.355348682,1.159805954,42.232292
90,153318375,0.3,0.15,1.333371484,1.138212788,40.895724
91,153318375,0,0.175,1.253663027,1.143855786,39.889086
