iteration,seed,dense_layers,learning_rate,optimizer,activation,dropout,rnn_type,rnn_size,rnn_activation,rnn_dropout,last_activation,last_perf,min_perf,time
0,633752692,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.320988595,1.196834731,43.199009
1,633752692,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.256450975,1.137530005,43.8428
0,1125782660,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.249196529,1.148571849,43.276983
1,1125782660,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.252319789,1.170124471,40.360941
0,1642442975,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.213818717,1.115199518,45.588235
1,1642442975,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.199124253,1.092916906,48.143425
0,212641806,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.265064836,1.171830273,44.13071
1,212641806,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.201340854,1.062836659,47.575591
0,643486805,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.321889174,1.225918901,43.240019
1,643486805,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.243296409,1.151689684,46.649894
0,2515006072,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.314668,1.184439898,45.129419
1,2515006072,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.260419858,1.14813751,47.845524
0,3612331975,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.266546726,1.157272184,49.191092
1,3612331975,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.220431888,1.099105024,48.12641
0,3551223810,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.297274125,1.206840336,52.159105
1,3551223810,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.267721057,1.167217124,45.663265
0,3773048119,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.241256821,1.108830595,51.166431
1,3773048119,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.227692652,1.131372738,42.955368
0,161502964,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.250491369,1.147712314,44.992329
1,161502964,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.275452304,1.171848083,51.200423
0,3299464423,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.217518306,1.054113436,46.552925
1,3299464423,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.279723465,1.14489001,41.523552
0,3528555703,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.33513211,1.19699415,45.458284
1,3528555703,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.29229238,1.130810606,42.381274
0,2757946631,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.282333636,1.160004067,47.427671
1,2757946631,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.244554317,1.1276793,42.691193
0,1595001695,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.222848594,1.150725257,41.9904
1,1595001695,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.27882278,1.163990784,39.779034
0,615973664,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.273568404,1.193671715,50.300695
1,615973664,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.195935893,1.081749451,44.66053
0,1055266011,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.300156295,1.203324497,45.47928
1,1055266011,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,2.901429844,1.744882047,38.504533
0,1648193736,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.242365181,1.135936189,52.660949
1,1648193736,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.267719686,1.15509882,41.479573
0,586814014,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.233874607,1.125933337,49.454005
1,586814014,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.194402575,1.090346837,48.954144
0,622223437,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.350727391,1.195097518,44.906529
1,622223437,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.289994848,1.154582047,47.548611
0,4051455967,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.287551856,1.169630229,42.171341
