iteration,seed,activation,rnn_activation,last_perf,min_perf,time
in,in,in,in,out,out,out
int,float,str,str,float,float,float
0,564679016,relu,tanh,1.227876079,1.128226101,49.052448
1,564679016,relu,relu,1.343006575,1.239575374,45.564525
0,270398028,relu,tanh,1.240441525,1.16362747,53.041847
1,270398028,relu,relu,1.259836864,1.169897187,50.614324
0,2714183118,relu,tanh,1.197174776,1.087960535,50.508105
1,2714183118,relu,relu,1.266602969,1.172934425,47.903996
0,1219285400,relu,tanh,1.203578269,1.116855836,47.180426
1,1219285400,relu,relu,1.372469699,1.242637587,45.648608
0,3770400930,relu,tanh,1.315747917,1.241855943,47.769981
1,3770400930,relu,relu,1.284193075,1.138746417,46.445267
0,2922776555,relu,tanh,1.225799727,1.134970272,50.49293
1,2922776555,relu,relu,1.324132919,1.240338123,49.21228
0,1356477331,relu,tanh,1.279333103,1.161270809,45.294442
1,1356477331,relu,relu,1.329873443,1.198446298,49.653324
0,2111217140,relu,tanh,1.333226144,1.223248518,48.671139
1,2111217140,relu,relu,1.384370065,1.26151613,45.053027
0,3677076272,relu,tanh,1.191373515,1.097345281,52.861882
1,3677076272,relu,relu,1.338604116,1.208088589,46.454169
0,1902348273,relu,tanh,1.686728525,1.582471418,97.324921
1,1902348273,relu,relu,1.296436238,1.186714971,48.304257
0,5969378,relu,tanh,1.306458688,1.192205274,48.306294
1,5969378,relu,relu,1.359135044,1.177808011,46.164597
0,3545796768,relu,tanh,1.340967882,1.218404663,46.963231
1,3545796768,relu,relu,1.331762671,1.188252985,47.250296
0,4210570680,relu,tanh,1.344935763,1.253670108,48.485015
1,4210570680,relu,relu,1.355646479,1.221765912,48.181958
0,2029735285,relu,tanh,1.254065704,1.110124314,51.306691
1,2029735285,relu,relu,1.301444542,1.198340714,48.790286
0,1828303708,relu,tanh,1.259388864,1.172853374,53.581766
1,1828303708,relu,relu,1.381953704,1.266677916,49.341094
0,4106956091,relu,tanh,1.313769722,1.198743069,49.054974
1,4106956091,relu,relu,1.310082531,1.174896753,45.588812
0,2949983250,relu,tanh,1.327429259,1.220516849,49.80337
1,2949983250,relu,relu,1.278981531,1.195178199,47.688595
0,2348259494,relu,tanh,1.224827158,1.108999693,48.927239
1,2348259494,relu,relu,1.317245209,1.193503487,45.933821
0,2819601971,relu,tanh,1.255891168,1.174412882,46.997658
1,2819601971,relu,relu,1.316682005,1.195820904,48.11405
0,16646388,relu,tanh,1.250212252,1.144104958,48.232174
1,16646388,relu,relu,1.302056074,1.243869734,50.920732
0,1739884014,relu,tanh,1.191717815,1.114065611,48.518875
1,1739884014,relu,relu,1.367803085,1.216220081,45.948618
0,4183268036,relu,tanh,1.287125695,1.141631842,48.369484
1,4183268036,relu,relu,1.327666414,1.252291882,48.362865
0,121719573,relu,tanh,1.293735206,1.175403821,46.415137
1,121719573,relu,relu,1.312404513,1.167160261,46.308235
0,1898880189,relu,tanh,1.353451514,1.223775971,48.150855
1,1898880189,relu,relu,1.343366861,1.225672352,55.271984
0,705195401,relu,tanh,1.291760969,1.165203714,49.252981
1,705195401,relu,relu,1.30095005,1.21464051,50.455888
0,4188951463,relu,tanh,1.2524459,1.15659281,49.640291
1,4188951463,relu,relu,1.262427342,1.16609025,47.919688
0,2187525953,relu,tanh,1.284751034,1.176699412,47.950045
1,2187525953,relu,relu,1.333225644,1.198960686,47.983495
0,2926983137,relu,tanh,1.189297831,1.077437592,49.731738
1,2926983137,relu,relu,1.300310338,1.176036859,47.57946
0,1601969667,relu,tanh,1.252965713,1.135724533,47.574702
1,1601969667,relu,relu,1.320638239,1.181580949,46.190872
0,3301282221,relu,tanh,1.350028706,1.231643975,47.62237
1,3301282221,relu,relu,1.296375144,1.190567923,46.346005
0,417990291,relu,tanh,1.179611397,1.093158555,49.806954
1,417990291,relu,relu,1.36096617,1.162717032,48.682347
0,2584797297,relu,tanh,1.292656529,1.172968972,45.719892
1,2584797297,relu,relu,1.320929801,1.214049423,47.201436
0,3741601255,relu,tanh,1.290780437,1.177985001,50.529573
1,3741601255,relu,relu,1.282805312,1.181689298,48.402944
0,4273593356,relu,tanh,1.245708382,1.12371335,49.914636
1,4273593356,relu,relu,1.332003701,1.184508038,47.691398
0,3180932582,relu,tanh,1.2501261,1.154749608,48.594353
1,3180932582,relu,relu,1.262800646,1.143413436,49.125835
0,3242961583,relu,tanh,1.304579747,1.217715514,47.242855
1,3242961583,relu,relu,1.28070755,1.157115424,46.808049
0,1833710621,relu,tanh,1.235466647,1.157186973,50.293021
1,1833710621,relu,relu,1.283194196,1.187875497,46.913893
0,3425647103,relu,tanh,1.342918038,1.218182063,47.257086
1,3425647103,relu,relu,1.253122103,1.137508905,48.999838
0,1459881421,relu,tanh,1.287191844,1.190935504,48.100775
1,1459881421,relu,relu,1.41194663,1.287298095,45.843432
0,517026854,relu,tanh,1.228973675,1.115607655,50.070767
1,517026854,relu,relu,1.388352668,1.254551601,45.563796
0,2585930945,relu,tanh,1.267877984,1.127585626,50.612189
1,2585930945,relu,relu,1.287555778,1.176904237,47.589334
0,2335949634,relu,tanh,1.304344285,1.190327418,48.368971
1,2335949634,relu,relu,1.336362362,1.169516802,45.765009
0,3406057239,relu,tanh,1.262132776,1.142663217,44.219537
1,3406057239,relu,relu,1.355130005,1.178493643,47.141483
0,478600517,relu,tanh,1.303563523,1.141856086,47.02555
1,478600517,relu,relu,1.39010452,1.223157179,47.133271
0,221120646,relu,tanh,1.314679635,1.169772184,45.971966
1,221120646,relu,relu,1.317860496,1.189075482,46.854942
0,710914736,relu,tanh,1.242814088,1.133260334,46.789132
1,710914736,relu,relu,1.279413819,1.174404776,44.876076
0,2158737985,relu,tanh,1.258903027,1.153779864,49.234124
1,2158737985,relu,relu,1.355300462,1.20662595,47.006833
0,3974854851,relu,tanh,1.295313656,1.189424074,48.333566
1,3974854851,relu,relu,1.261871576,1.198272789,47.593435
0,745836862,relu,tanh,1.226980174,1.114001918,48.313619
1,745836862,relu,relu,1.337473059,1.22524823,46.603323
0,4013513294,relu,tanh,1.221306908,1.145397615,50.965672
1,4013513294,relu,relu,1.350447595,1.206306279,48.371626
0,2133531619,relu,tanh,1.245455635,1.10109241,48.748857
1,2133531619,relu,relu,1.439316511,1.325045145,46.044238
0,449472583,relu,tanh,1.293871152,1.176130569,50.610743
1,449472583,relu,relu,1.272007632,1.160078073,48.546453
0,3731552369,relu,tanh,1.304952455,1.198235428,47.72927
1,3731552369,relu,relu,1.320744121,1.196601415,46.710389
0,193651563,relu,tanh,1.215195191,1.088650131,49.601183
1,193651563,relu,relu,1.307928634,1.232053494,50.892751
0,3287934657,relu,tanh,1.247016954,1.120221627,47.401561
1,3287934657,relu,relu,1.325191307,1.179982817,47.295074
0,2285820488,relu,tanh,1.266953325,1.158709562,46.326998
1,2285820488,relu,relu,1.276249909,1.162074709,46.900203
0,1669573707,relu,tanh,1.264281547,1.146168935,48.656413
1,1669573707,relu,relu,1.31337148,1.191863751,46.421426
0,824970946,relu,tanh,1.202822876,1.05411886,51.293917
1,824970946,relu,relu,1.342265558,1.238522339,51.979862
0,2077219262,relu,tanh,1.276418817,1.182006466,47.115646
1,2077219262,relu,relu,1.265527058,1.143927228,50.134304
0,3362620164,relu,tanh,1.181037867,1.065174937,48.920429
1,3362620164,relu,relu,1.326150692,1.187565231,49.095892
0,665313062,relu,tanh,1.276202714,1.153331947,45.455142
1,665313062,relu,relu,1.327139258,1.188050413,46.642691
0,3454603242,relu,tanh,1.297028649,1.185864234,46.509281
1,3454603242,relu,relu,1.318410277,1.190188181,56.818856
0,3271605489,relu,tanh,1.258906567,1.166384065,47.88557
1,3271605489,relu,relu,1.310814309,1.162965238,49.585037
0,2439719746,relu,tanh,1.24289335,1.148560071,49.811609
1,2439719746,relu,relu,1.252240682,1.136709261,49.558392
0,2625615775,relu,tanh,1.243203056,1.133686519,49.699336
1,2625615775,relu,relu,1.286629438,1.173931897,47.655819
0,3994382665,relu,tanh,1.257311273,1.174039268,46.833953
1,3994382665,relu,relu,1.246204364,1.091985881,48.080426
0,793352753,relu,tanh,1.23745935,1.156002414,50.273508
1,793352753,relu,relu,1.329773569,1.21348418,47.143917
0,3261738105,relu,tanh,1.338510919,1.206764925,47.677875
1,3261738105,relu,relu,1.294946575,1.205259955,47.665136
0,2944424119,relu,tanh,1.344950473,1.217978287,47.507008
1,2944424119,relu,relu,1.305835867,1.199023747,44.936368
0,2265024531,relu,tanh,1.295029294,1.165490901,45.038434
1,2265024531,relu,relu,1.355575883,1.227887094,50.605227
0,751972418,relu,tanh,1.248257279,1.170993483,50.194588
1,751972418,relu,relu,1.342261553,1.206776166,46.665842
0,3314144032,relu,tanh,1.230862844,1.113728285,49.126834
1,3314144032,relu,relu,1.359011793,1.14745729,48.360425
0,3662830270,relu,tanh,1.208389044,1.13453871,47.352914
1,3662830270,relu,relu,1.298517764,1.187739289,54.391109
0,2599653554,relu,tanh,1.316056287,1.144955194,46.165552
1,2599653554,relu,relu,1.276594436,1.158694124,46.513265
0,1661731857,relu,tanh,1.337772799,1.182892907,45.511202
1,1661731857,relu,relu,1.322946548,1.206497097,47.731593
0,2991355208,relu,tanh,1.323860431,1.168675101,46.786171
1,2991355208,relu,relu,1.332810283,1.202753186,46.729662
0,1237085187,relu,tanh,1.245349538,1.11556468,44.768372
1,1237085187,relu,relu,1.261167049,1.174206686,49.599864
0,3229499574,relu,tanh,1.195427966,1.104897821,48.386776
1,3229499574,relu,relu,1.294818211,1.159353232,48.158121
0,3364710623,relu,tanh,1.31464678,1.140590453,46.778138
1,3364710623,relu,relu,1.280497158,1.204600573,46.655009
0,2573319381,relu,tanh,1.336368561,1.267873657,65.396382
1,2573319381,relu,relu,3.651328111,3.58358283,53.29001
0,603182175,relu,tanh,1.339202881,1.218969548,45.487292
1,603182175,relu,relu,1.364005125,1.208572459,46.600339
0,3107013746,relu,tanh,1.221723509,1.123247111,48.831253
1,3107013746,relu,relu,1.307694697,1.177152348,47.809716
0,1221954925,relu,tanh,1.28956387,1.15727551,48.5128
1,1221954925,relu,relu,1.3085958,1.221506011,45.779339
0,2176847894,relu,tanh,1.322612929,1.2138556,46.299243
1,2176847894,relu,relu,1.239029002,1.095011592,46.719115
0,2893425116,relu,tanh,1.318045902,1.217947149,45.985646
1,2893425116,relu,relu,1.29704231,1.177275479,46.342924
0,2162107438,relu,tanh,1.243633127,1.187329376,50.701697
1,2162107438,relu,relu,1.351857829,1.233961654,48.467878
0,817390417,relu,tanh,1.253683305,1.139373279,47.640089
1,817390417,relu,relu,1.332581973,1.174267018,48.356397
0,1288028798,relu,tanh,1.247080505,1.112216699,50.954531
1,1288028798,relu,relu,1.362439466,1.244566107,45.191597
0,1419085027,relu,tanh,1.310163283,1.190093207,46.213577
