iteration,dense_layers,learning_rate,optimizer,activation,dropout,rnn_activation,rnn_dropout,last_activation,rnn_type,rnn_size,last_perf,min_perf,time,
32,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,65,1.576519895,1.27734592,21.550017
,,,,,,,,,,,,,,
33,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,80,1.540555453,1.418899107,25.455753
,,,,,,,,,,,,,,
34,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,95,1.645130682,1.41629777,24.539612
,,,,,,,,,,,,,,
35,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,110,1.615727234,1.26394788,19.543356
,,,,,,,,,,,,,,
36,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,125,2.043375993,1.230052865,21.287033
,,,,,,,,,,,,,,
37,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,140,1.625129926,1.172799671,22.437573
,,,,,,,,,,,,,,
38,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,155,1.852852845,1.379574311,22.377018
,,,,,,,,,,,,,,
39,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,170,1.571568966,1.443839931,23.449
,,,,,,,,,,,,,,
40,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,185,1.732407713,1.359572077,23.701922
,,,,,,,,,,,,,,
41,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,200,1.59480896,1.397858453,28.150805
,,,,,,,,,,,,,,
42,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,215,1.802157402,1.414595819,26.313501
,,,,,,,,,,,,,,
43,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,230,1.654139161,1.450592136,25.23266
,,,,,,,,,,,,,,
44,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,245,1.746593881,1.340189338,29.381329
,,,,,,,,,,,,,,
45,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,260,1.58188467,1.444478416,27.581546
,,,,,,,,,,,,,,
