iteration,dense_layers,learning_rate,optimizer,activation,dropout,rnn_type,rnn_size,rnn_activation,rnn_dropout,last_activation,last_perf,min_perf,time
36,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2584135413169861,1.1519302129745483,45.093374
37,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.1360162377357483,1.0179902911186218,52.144087
38,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2411545157432555,1.1170177698135375,48.367313
39,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.1696116089820863,1.0634933829307556,50.765535
40,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2034438490867614,1.1213592171669007,64.740003
41,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2791227459907533,1.1773707866668701,42.474223
42,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2413341879844666,1.1182225465774536,46.347984999999994
43,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2431076765060425,1.1120425581932067,42.032368
44,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2497250080108642,1.1686432003974914,50.502621
45,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2153639793395996,1.11895033121109,60.022533
46,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2300023794174195,1.1578526735305785,49.493949
47,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,6.164211773872376,6.0928891658782955,48.827163
48,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,12.935843467712402,12.935843467712402,33.273208
49,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2525378346443177,1.1210087656974792,53.495647000000005
50,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2266502737998963,1.082067883014679,46.606882
51,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2397941470146179,1.117433762550354,52.219063000000006
52,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,12.935843467712402,12.935843467712402,33.218252
53,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.270823311805725,1.1660397529602051,54.13844
54,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.1661380648612976,1.0568341732025146,52.248087
55,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2583632230758668,1.1047302842140199,51.19440899999999
56,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.1502614498138428,1.0503166556358337,51.695234
57,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2826585292816162,1.2039492964744567,47.484601
58,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2159060001373292,1.1086958408355714,52.322024
59,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2324970602989196,1.1043166875839234,48.597260999999996
60,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.1660017371177673,1.0434135675430298,47.185698
