iteration,seed,dense_layers,learning_rate,optimizer,activation,dropout,rnn_type,rnn_size,rnn_activation,rnn_dropout,last_activation,last_perf,min_perf,time
33,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.175,lstm,230,tanh,0.05,relu,1.237578535079956,1.1678064465522766,50.777439
34,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.2,lstm,230,tanh,0.05,relu,1.3075199007987977,1.1949621081352233,48.377838
35,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.225,lstm,230,tanh,0.05,relu,1.275687861442566,1.1413995623588562,48.082154
36,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.25,lstm,230,tanh,0.05,relu,1.3701525807380677,1.186951792240143,46.156893999999994
37,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.275,lstm,230,tanh,0.05,relu,1.2432514905929566,1.1514865636825562,48.402175
38,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.3,lstm,230,tanh,0.05,relu,1.293322455883026,1.1756056070327758,44.978358
39,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,lstm,230,tanh,0.075,relu,1.233643126487732,1.1131174325942994,42.703978
40,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.075,relu,1.2541095972061158,1.1458573818206788,55.654291
41,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.05,lstm,230,tanh,0.075,relu,1.2383168458938598,1.156511700153351,49.882847
42,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.075,lstm,230,tanh,0.075,relu,1.2831658363342284,1.1584416508674622,45.54553299999999
43,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.075,relu,1.3331243991851807,1.2245328903198243,45.028354
44,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.125,lstm,230,tanh,0.075,relu,1.2845051646232606,1.1798400163650513,45.787195
45,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.15,lstm,230,tanh,0.075,relu,1.1895716309547424,1.1062295079231261,50.72832399999999
46,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.175,lstm,230,tanh,0.075,relu,1.2491714835166932,1.1547519445419312,45.534091
47,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.2,lstm,230,tanh,0.075,relu,1.272638463973999,1.1660889029502868,45.294021
48,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.225,lstm,230,tanh,0.075,relu,1.3669916272163392,1.2341411352157592,47.098969
49,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.25,lstm,230,tanh,0.075,relu,1.38429114818573,1.1992396116256714,48.998602000000005
50,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.275,lstm,230,tanh,0.075,relu,1.2474499583244323,1.1355416536331178,46.623719
51,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.3,lstm,230,tanh,0.075,relu,1.313088047504425,1.209346640110016,46.731732
52,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,lstm,230,tanh,0.1,relu,1.3091203093528747,1.1969170689582824,38.976479999999995
53,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.1,relu,1.2442738175392152,1.1332308650016785,56.73103
54,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.05,lstm,230,tanh,0.1,relu,1.2942882657051087,1.1862097144126893,46.62760900000001
55,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.075,lstm,230,tanh,0.1,relu,1.2730941772460938,1.1565978884696961,45.397638
56,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.2820572972297668,1.1856280088424682,46.958166
57,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.125,lstm,230,tanh,0.1,relu,1.2162402153015137,1.1576140880584718,47.617086
58,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.15,lstm,230,tanh,0.1,relu,1.2033183574676514,1.1097914338111878,48.168153
