iteration,seed,last_activation,last_perf,min_perf,time
1,3131795649,relu,1.267236102,1.164438987,47.723542
2,3131795649,leaky_relu,1.296084845,1.17803812,49.847855
0,1381789629,linear,1.245621955,1.139302337,50.420668
1,1381789629,relu,1.31503638,1.218511879,45.780173
2,1381789629,leaky_relu,1.243620813,1.131277227,49.33202
0,3146520741,linear,1.149406445,1.072515905,50.722572
1,3146520741,relu,1.275545418,1.177306783,42.613197
2,3146520741,leaky_relu,1.21220659,1.150011981,46.727866
0,3335939433,linear,1.300253904,1.173998189,45.253349
1,3335939433,relu,1.283828723,1.185247087,52.958847
2,3335939433,leaky_relu,1.2517295,1.093300581,51.693256
0,3362452320,linear,1.26510998,1.1514799,47.997479
1,3362452320,relu,1.265895474,1.162318277,49.263043
2,3362452320,leaky_relu,1.272880113,1.156899273,46.472946
0,1144820576,linear,1.248541379,1.150098228,42.717163
1,1144820576,relu,1.252453959,1.134246886,41.833449
2,1144820576,leaky_relu,1.25247786,1.141093314,44.775497
0,97404844,linear,1.236108935,1.123264539,46.665891
1,97404844,relu,1.270268822,1.176233983,43.685853
2,97404844,leaky_relu,1.217585719,1.122208858,46.289008
0,1701265333,linear,1.270551157,1.108110011,43.028062
1,1701265333,relu,1.264599466,1.163875937,48.221382
2,1701265333,leaky_relu,1.247581124,1.140449381,44.597556
0,1581816499,linear,1.289832151,1.149174738,39.455221
1,1581816499,relu,1.303048182,1.178300214,38.601497
2,1581816499,leaky_relu,1.295603442,1.151087666,38.353595
0,2041716277,linear,1.293841469,1.179224467,42.659185
1,2041716277,relu,1.214491093,1.091573048,45.777176
2,2041716277,leaky_relu,1.298750246,1.189231396,42.515215
0,331209533,linear,1.272021425,1.17065922,39.026362
1,331209533,relu,1.272021461,1.170659256,39.070352
2,331209533,leaky_relu,1.272021425,1.17065922,39.062361
0,2275292277,linear,1.343277776,1.204548609,47.236707
1,2275292277,relu,1.338165593,1.247082138,44.24367
2,2275292277,leaky_relu,1.377153981,1.225431812,44.743508
0,1836746400,linear,1.254946923,1.080102456,45.159385
1,1836746400,relu,1.239238882,1.141563725,46.158045
2,1836746400,leaky_relu,1.207163763,1.09719274,43.895783
0,2316385654,linear,1.296033561,1.175073504,50.803545
1,2316385654,relu,1.377952123,1.284355605,44.969436
2,2316385654,leaky_relu,1.245806205,1.14522804,52.504006
0,2455082242,linear,1.178268814,1.093270719,45.577236
1,2455082242,relu,1.274815917,1.154865181,38.611492
2,2455082242,leaky_relu,1.23227036,1.114051127,43.647855
0,2989660083,linear,1.286874211,1.163854122,49.291014
1,2989660083,relu,1.332775891,1.196656096,44.273662
2,2989660083,leaky_relu,1.280532515,1.126639485,46.935785
0,1370521312,linear,1.242496657,1.150601494,48.757208
1,1370521312,relu,1.32570765,1.178010643,42.918089
2,1370521312,leaky_relu,1.289878273,1.144511056,42.821132
0,538338651,linear,1.23424865,1.136227608,50.122757
1,538338651,relu,1.284588683,1.200858188,46.102069
2,538338651,leaky_relu,1.287535954,1.200146115,46.073067
0,687680062,linear,1.269101477,1.17404834,42.036375
1,687680062,relu,1.263683236,1.174522102,42.917101
2,687680062,leaky_relu,1.224138606,1.130787599,45.603217
0,364138826,linear,1.323175669,1.185088623,43.625848
1,364138826,relu,1.319006491,1.221290803,41.982403
2,364138826,leaky_relu,1.277806485,1.184408391,45.747187
0,1246030482,linear,1.338485873,1.205949831,42.802138
1,1246030482,relu,1.320917416,1.227077389,42.947106
2,1246030482,leaky_relu,1.284601688,1.162267578,47.57959
0,3486870670,linear,1.261346483,1.154185462,40.803783
1,3486870670,relu,1.263847804,1.120932055,42.278305
2,3486870670,leaky_relu,1.20532527,1.08064332,46.308001
0,769181332,linear,1.272493947,1.148638523,46.516932
1,769181332,relu,1.235340571,1.174884868,58.869933
2,769181332,leaky_relu,1.237352169,1.130409396,48.021445
0,3326680050,linear,1.323121798,1.166994321,44.661535
1,3326680050,relu,1.290138972,1.121491766,44.918453
2,3326680050,leaky_relu,1.321197891,1.160914385,44.266661
0,1597838096,linear,1.324786103,1.237541592,40.889755
1,1597838096,relu,1.285660434,1.149568033,47.465633
2,1597838096,leaky_relu,1.368262959,1.255841172,46.275012
0,483105408,linear,1.175881433,1.092353928,47.844504
1,483105408,relu,1.249945796,1.141822505,46.981783
2,483105408,leaky_relu,1.192539871,1.114258826,51.975165
0,3423814899,linear,1.304996383,1.17418524,43.775821
1,3423814899,relu,1.283217394,1.190827668,42.269309
2,3423814899,leaky_relu,1.296586251,1.194654524,45.626222
0,310273532,linear,1.325431299,1.151894915,42.690193
1,310273532,relu,1.321884263,1.144892693,43.130033
2,310273532,leaky_relu,1.233508611,1.110463846,47.885492
0,3405779745,linear,1.138126433,1.067402947,48.513289
1,3405779745,relu,1.194489908,1.116552699,48.891191
2,3405779745,leaky_relu,1.1837924,1.093745065,45.329311
0,508417837,linear,1.303228199,1.179815531,43.676856
1,508417837,relu,1.226785696,1.127484334,51.718251
2,508417837,leaky_relu,1.275178289,1.130431855,47.348651
0,3805828531,linear,1.312599099,1.151120949,45.384298
1,3805828531,relu,1.243535113,1.146196949,44.839489
2,3805828531,leaky_relu,1.289368916,1.183019114,47.288684
0,1292482228,linear,1.307480288,1.20160315,44.561567
1,1292482228,relu,1.212113047,1.134769881,54.37339
2,1292482228,leaky_relu,1.241379499,1.132740998,48.570269
0,990779863,linear,1.219156468,1.042897367,50.42767
1,990779863,relu,1.248317707,1.11862253,46.507928
2,990779863,leaky_relu,1.327732396,1.208155775,44.047733
0,530254976,linear,1.21214726,1.08213762,51.872187
1,530254976,relu,1.365136468,1.231008947,46.757856
2,530254976,leaky_relu,1.30330162,1.134862924,48.256371
0,4221683175,linear,1.318054426,1.190055907,42.734164
1,4221683175,relu,1.311687529,1.21239363,44.382626
2,4221683175,leaky_relu,1.30353595,1.162429035,45.607233
0,2338603488,linear,1.26006043,1.15844239,48.668237
1,2338603488,relu,1.319460857,1.22150687,44.285655
2,2338603488,leaky_relu,1.306060719,1.179952109,49.132086
0,404886709,linear,1.262128365,1.173420298,51.085454
1,404886709,relu,1.229384542,1.149356651,48.644256
2,404886709,leaky_relu,1.220627224,1.148765779,52.120128
0,3278140406,linear,1.183411467,1.093237841,48.404323
1,3278140406,relu,1.259809375,1.176641572,44.537575
2,3278140406,leaky_relu,1.23200736,1.150343907,43.224002
0,22945658,linear,1.236061358,1.093444681,44.394622
1,22945658,relu,1.238017535,1.067865634,47.952467
2,22945658,leaky_relu,1.261998498,1.102409542,43.545894
0,1240467809,linear,1.28606813,1.144516957,45.336316
1,1240467809,relu,1.359462547,1.215950119,45.35031
2,1240467809,leaky_relu,1.33555249,1.20705806,44.215681
0,1999679635,linear,1.18026396,1.095483446,46.149054
1,1999679635,relu,1.176981366,1.100751758,44.473603
2,1999679635,leaky_relu,1.176326561,1.097997499,44.666547
