iteration,seed,rnn_type,rnn_size,last_perf,min_perf,time
in,in,in,in,out,out,out
int,int,str,int,float,float,float
53,1,simplernn,380,1.626819086,1.530512357,25.362527
54,1,simplernn,395,2.009774542,1.744655228,21.310298
55,1,simplernn,410,1.572291398,1.502068353,27.140817
56,1,simplernn,425,1.754111266,1.611927962,23.210772
57,1,simplernn,440,1.755074191,1.620375538,29.718953
58,1,simplernn,455,1.749038267,1.548081756,25.188999
59,1,simplernn,470,1.637089324,1.494876289,26.239281
60,1,simplernn,485,1.614009452,1.52370038,24.547741
0,2,none,0,1.922594023,1.320012426,9.021993
1,2,lstm,50,1.198151326,1.069173849,38.091951
2,2,lstm,65,1.224273837,1.078246927,37.938329
3,2,lstm,80,1.178633809,1.070462763,42.866442
4,2,lstm,95,1.192335951,1.089494574,43.569457
5,2,lstm,110,1.167962527,0.99590956,39.069277
6,2,lstm,125,1.199697018,1.07527833,36.260463
7,2,lstm,140,1.218668604,1.067665148,37.755837
8,2,lstm,155,1.3141307,1.197256303,34.322686
9,2,lstm,170,1.240562332,1.139174604,37.922259
10,2,lstm,185,1.235203576,1.095823836,39.379709
11,2,lstm,200,1.105998683,1.007425857,44.826839
12,2,lstm,215,1.101008856,0.984047365,40.628338
13,2,lstm,230,1.270211613,1.038532412,38.666278
14,2,lstm,245,1.220828843,1.131222785,39.513657
15,2,lstm,260,1.314884293,1.229708421,38.098317
16,2,lstm,275,1.244762099,1.123575652,38.423738
17,2,lstm,290,1.220896673,1.132265818,39.660129
18,2,lstm,305,1.244037271,1.06637522,40.291048
19,2,lstm,320,1.235160244,1.105275154,39.60403
20,2,lstm,335,1.220496154,1.102053463,41.006882
21,2,lstm,350,1.227283669,1.113706267,38.553068
22,2,lstm,365,1.111831605,1.008413649,42.713636
23,2,lstm,380,1.247341585,1.113600791,41.808766
24,2,lstm,395,1.126444221,0.986259425,42.456694
25,2,lstm,410,1.198368776,1.07469734,41.724279
26,2,lstm,425,1.278914094,1.148176908,40.572104
27,2,lstm,440,1.352138376,1.174867654,40.271195
28,2,lstm,455,1.286097026,1.121175468,43.400392
29,2,lstm,470,1.330474269,1.18605473,43.781027
30,2,lstm,485,1.319458723,1.18076781,44.084246
31,2,simplernn,50,1.678323555,1.384375,20.055704
32,2,simplernn,65,1.459644818,1.197459066,20.587845
33,2,simplernn,80,1.738918614,1.210449719,19.569958
34,2,simplernn,95,1.780758095,1.265527236,20.497463
35,2,simplernn,110,1.739143968,1.24261086,20.569339
36,2,simplernn,125,1.691063929,1.341430449,21.462416
37,2,simplernn,140,1.52062304,1.207390499,21.653387
38,2,simplernn,155,1.579044902,1.260141146,23.442156
39,2,simplernn,170,1.79171567,1.357298231,21.226486
40,2,simplernn,185,1.797697973,1.443306279,22.242333
41,2,simplernn,200,1.644686294,1.359423208,22.799344
42,2,simplernn,215,1.846964884,1.434963632,23.412349
43,2,simplernn,230,1.855920076,1.494876814,23.135969
44,2,simplernn,245,1.857790208,1.479108965,21.82145
45,2,simplernn,260,1.931753778,1.621265817,21.433001
46,2,simplernn,275,1.763264823,1.415476191,22.118646
47,2,simplernn,290,1.816839743,1.496947908,22.910982
48,2,simplernn,305,1.683888054,1.524899554,24.210359
49,2,simplernn,320,2.622654772,1.761286581,22.386443
50,2,simplernn,335,1.609087706,1.458301449,25.76895
51,2,simplernn,350,1.823121953,1.684203196,22.303186
52,2,simplernn,365,1.875301504,1.603538013,26.532023
53,2,simplernn,380,1.521795821,1.46480546,29.909975
54,2,simplernn,395,1.570532632,1.508859587,27.289913
55,2,simplernn,410,1.70379107,1.57124126,25.997868
56,2,simplernn,425,1.54570446,1.488610411,27.718384
57,2,simplernn,440,1.621760178,1.588945293,25.957071
58,2,simplernn,455,1.556586719,1.511764693,29.988098
59,2,simplernn,470,1.550060105,1.516254735,32.622223
60,2,simplernn,485,1.659699845,1.573722935,24.061725
0,3,none,0,1.705834889,1.319834328,9.645332
1,3,lstm,50,1.254347181,1.133572721,39.114238
2,3,lstm,65,1.210764754,1.069197488,39.583957
3,3,lstm,80,1.263226223,1.15004859,39.873611
4,3,lstm,95,1.187676895,1.082556641,41.020354
5,3,lstm,110,1.277836919,1.164493799,34.242937
6,3,lstm,125,1.237815928,1.103590643,34.618896
7,3,lstm,140,1.294065201,1.173102713,37.678204
8,3,lstm,155,1.310093665,1.208102632,36.672627
9,3,lstm,170,1.236534429,1.107271159,40.792492
10,3,lstm,185,1.326816916,1.187829113,37.659561
11,3,lstm,200,1.194932783,1.066348779,37.875217
12,3,lstm,215,1.270177591,1.137012064,38.439968
13,3,lstm,230,1.208860445,1.062517047,36.070657
14,3,lstm,245,1.246170616,1.105822766,37.758528
15,3,lstm,260,1.189543533,1.101545131,39.371715
16,3,lstm,275,1.332672846,1.264431942,41.387888
17,3,lstm,290,1.144948125,0.998020923,43.863534
18,3,lstm,305,1.251897573,1.136552489,41.465775
19,3,lstm,320,1.237178373,1.120594561,46.717818
20,3,lstm,335,1.146700823,1.04392997,46.498287
21,3,lstm,350,1.305780733,1.160771883,41.650855
22,3,lstm,365,1.286529422,1.151177251,42.05709
23,3,lstm,380,1.15172714,1.041322851,45.022632
24,3,lstm,395,1.15855813,1.011864316,42.817828
25,3,lstm,410,1.255211675,1.137100244,51.266743
26,3,lstm,425,1.256053317,1.109419441,45.340324
27,3,lstm,440,1.26428864,1.188631201,40.601566
28,3,lstm,455,1.409543884,1.21656363,39.611083
29,3,lstm,470,1.159950161,1.015623271,50.685355
30,3,lstm,485,1.478504682,1.267747152,40.548136
31,3,simplernn,50,1.431388402,1.285961556,19.673156
32,3,simplernn,65,1.486155915,1.256061935,20.460185
33,3,simplernn,80,1.611695337,1.261722028,20.19628
34,3,simplernn,95,1.585780692,1.224562681,21.020165
35,3,simplernn,110,1.485187101,1.199670243,21.982037
36,3,simplernn,125,1.60620594,1.349883413,22.187468
37,3,simplernn,140,1.417842245,1.280361342,23.828126
38,3,simplernn,155,1.871643186,1.526757836,22.130891
39,3,simplernn,170,1.886417341,1.476932716,20.966229
40,3,simplernn,185,1.576033902,1.381840897,23.781737
41,3,simplernn,200,1.605973196,1.441178238,28.251325
42,3,simplernn,215,1.719035947,1.366765726,23.27465
43,3,simplernn,230,1.641045094,1.388393378,24.66293
44,3,simplernn,245,1.626561618,1.383946192,24.654373
45,3,simplernn,260,1.602993941,1.51330204,25.40858
46,3,simplernn,275,1.533270383,1.424020243,25.98396
47,3,simplernn,290,1.572773242,1.448322082,27.659981
48,3,simplernn,305,1.512785363,1.441974378,32.242809
49,3,simplernn,320,1.521177602,1.423723626,26.420754
50,3,simplernn,335,1.498898244,1.417808056,26.756442
51,3,simplernn,350,1.553142476,1.47639358,25.753992
52,3,simplernn,365,1.552952719,1.458902168,28.244857
53,3,simplernn,380,1.580716586,1.521018195,26.613812
54,3,simplernn,395,1.512792635,1.460944605,28.622882
55,3,simplernn,410,1.543934989,1.497904444,27.312337
56,3,simplernn,425,1.553070784,1.499092245,28.821364
57,3,simplernn,440,1.543698406,1.500415897,28.773011
58,3,simplernn,455,1.545112944,1.476622367,29.221114
59,3,simplernn,470,1.545367646,1.497364783,31.016013
60,3,simplernn,485,1.552419949,1.484038949,26.070649
0,4,none,0,1.760907435,1.424532795,9.359613
1,4,lstm,50,1.197224915,1.062321293,38.455954
2,4,lstm,65,1.273105896,1.157831168,39.856335
3,4,lstm,80,1.211778021,1.116149199,43.446818
4,4,lstm,95,1.289480221,1.154255283,37.935252
5,4,lstm,110,1.238199317,1.116076136,38.295223
6,4,lstm,125,1.222875988,1.087914908,39.479485
7,4,lstm,140,1.292112815,1.223739898,41.346345
8,4,lstm,155,1.226620495,1.072262228,38.567556
9,4,lstm,170,1.24192977,1.106411779,39.546283
10,4,lstm,185,1.196989524,1.076689696,39.223658
11,4,lstm,200,1.203820169,1.089155364,43.387393
12,4,lstm,215,1.235839927,1.092054415,38.858146
13,4,lstm,230,1.261544001,1.164320636,39.882203
14,4,lstm,245,1.253661537,1.121188319,41.017097
15,4,lstm,260,1.258045161,1.140630996,43.09334
16,4,lstm,275,1.150139594,1.026572156,44.024824
17,4,lstm,290,1.206187797,1.086893833,41.686462
18,4,lstm,305,1.331627357,1.188684368,38.095719
19,4,lstm,320,1.270767879,1.111213756,41.208313
20,4,lstm,335,1.222179663,1.075772905,43.849373
21,4,lstm,350,1.222287011,1.084822273,43.110498
22,4,lstm,365,1.365801346,1.230268192,43.032339
23,4,lstm,380,1.174930334,1.096018231,41.936848
24,4,lstm,395,1.280042994,1.178315556,42.315618
25,4,lstm,410,1.42402823,1.223775983,40.297242
26,4,lstm,425,1.394935191,1.284591866,39.188743
27,4,lstm,440,1.341495109,1.166774106,41.483167
28,4,lstm,455,1.363185406,1.25975821,39.992739
29,4,lstm,470,1.488275099,1.214558494,43.048078
30,4,lstm,485,1.535323572,1.319198859,39.834514
31,4,simplernn,50,1.681363392,1.302049232,20.863502
32,4,simplernn,65,1.465671158,1.24662869,20.630638
33,4,simplernn,80,1.670579219,1.268233633,21.470864
34,4,simplernn,95,1.506269288,1.21564368,23.604686
35,4,simplernn,110,1.789187717,1.427746785,21.371838
36,4,simplernn,125,1.715378904,1.323658049,23.395792
37,4,simplernn,140,1.491792536,1.236969101,20.382271
38,4,simplernn,155,1.60054462,1.291989827,19.805118
39,4,simplernn,170,1.500416172,1.240052891,22.149682
40,4,simplernn,185,1.706640983,1.146356988,22.770862
41,4,simplernn,200,2.043081403,1.421197152,21.527731
42,4,simplernn,215,1.541115761,1.413950992,24.781142
43,4,simplernn,230,1.460025692,1.372860897,28.594817
44,4,simplernn,245,1.541407728,1.410280037,25.795395
45,4,simplernn,260,1.605466652,1.417718863,27.476907
46,4,simplernn,275,1.482782817,1.349723387,28.053889
47,4,simplernn,290,1.586642718,1.509035134,24.450444
48,4,simplernn,305,1.53651824,1.448901129,27.196142
49,4,simplernn,320,1.602038956,1.551043606,28.73159
50,4,simplernn,335,1.515457344,1.457064891,26.046393
51,4,simplernn,350,1.578582931,1.503500056,27.722515
52,4,simplernn,365,1.532062507,1.476916242,34.527338
53,4,simplernn,380,1.643702078,1.56578877,25.391501
54,4,simplernn,395,1.543230343,1.497508264,28.842145
55,4,simplernn,410,1.551374197,1.482108259,27.540236
56,4,simplernn,425,1.577747154,1.478593993,28.744493
57,4,simplernn,440,1.56402905,1.483683777,28.724106
58,4,simplernn,455,1.897362518,1.765423536,28.617371
59,4,simplernn,470,1.665969634,1.525582433,25.254834
60,4,simplernn,485,1.589591312,1.483192897,29.205856
0,5,none,0,1.765792513,1.335074222,9.255865
1,5,lstm,50,1.215002871,1.091138589,40.609931
2,5,lstm,65,1.261874032,1.148372924,35.639676
3,5,lstm,80,1.2080814,1.085612476,40.955186
4,5,lstm,95,1.266958332,1.176734805,39.297673
5,5,lstm,110,1.180657804,1.080637658,53.630775
6,5,lstm,125,1.207419538,1.092293251,42.010912
7,5,lstm,140,1.218822062,1.119549596,38.584691
8,5,lstm,155,1.244636559,1.068834019,39.324937
9,5,lstm,170,1.27190752,1.152067161,35.997758
10,5,lstm,185,1.235866082,1.105087173,39.555855
11,5,lstm,200,1.263277161,1.152248156,35.818857
12,5,lstm,215,1.134841073,1.032695663,42.114045
13,5,lstm,230,1.273444569,1.179574502,38.266068
14,5,lstm,245,1.167632055,1.043727887,43.396584
15,5,lstm,260,1.241653013,1.100392151,42.042249
16,5,lstm,275,1.211565626,1.08856101,40.446868
17,5,lstm,290,1.169107389,1.045042288,43.674688
18,5,lstm,305,1.232062578,1.12890712,39.840859
19,5,lstm,320,1.195588899,1.053182375,38.776024
20,5,lstm,335,1.15936296,1.077532768,40.715863
21,5,lstm,350,1.297743595,1.167684758,38.224573
22,5,lstm,365,1.389410138,1.237129688,41.005641
23,5,lstm,380,1.359219837,1.200836957,39.751264
24,5,lstm,395,1.330529726,1.207106423,40.444197
25,5,lstm,410,1.444700813,1.154577649,40.968007
26,5,lstm,425,1.3233042,1.157347095,41.127683
27,5,lstm,440,1.42480309,1.197613084,41.296113
28,5,lstm,455,1.350887275,1.186873913,41.82933
29,5,lstm,470,1.256877148,1.14116894,50.866104
30,5,lstm,485,1.179423726,1.086091971,48.035069
31,5,simplernn,50,1.748834777,1.30149343,19.569928
32,5,simplernn,65,1.434992838,1.225134408,21.564305
33,5,simplernn,80,1.722287846,1.285389602,20.212859
34,5,simplernn,95,1.745940733,1.393015289,21.772266
35,5,simplernn,110,1.5311481,1.239156604,21.231514
36,5,simplernn,125,1.586888146,1.205995238,19.878628
37,5,simplernn,140,1.500086093,1.264421749,21.437627
38,5,simplernn,155,1.539122438,1.340970099,25.41592
39,5,simplernn,170,1.710293865,1.384363484,23.173881
40,5,simplernn,185,1.920526218,1.356421566,21.627504
41,5,simplernn,200,1.632602978,1.400405121,22.632393
42,5,simplernn,215,1.648467088,1.432514954,23.915399
43,5,simplernn,230,1.552020359,1.332886469,29.838655
44,5,simplernn,245,1.557846737,1.488010335,33.516894
45,5,simplernn,260,1.513727927,1.34544338,28.332851
46,5,simplernn,275,1.549640989,1.462493062,27.136319
47,5,simplernn,290,1.47336185,1.421275091,27.500369
48,5,simplernn,305,1.613100529,1.466577625,25.39259
49,5,simplernn,320,1.452830005,1.399983418,30.013816
50,5,simplernn,335,1.643708777,1.33951596,26.91219
51,5,simplernn,350,1.690310526,1.504299033,26.040231
52,5,simplernn,365,1.616589499,1.532176709,24.508359
53,5,simplernn,380,1.561134672,1.503176522,32.632186
54,5,simplernn,395,1.548151493,1.421864414,29.250837
55,5,simplernn,410,1.608058715,1.404110909,31.982876
56,5,simplernn,425,1.855523157,1.550492787,23.67369
57,5,simplernn,440,1.597640228,1.526301742,29.785761
58,5,simplernn,455,1.78714819,1.492111897,29.243551
59,5,simplernn,470,1.563481998,1.529679561,29.262196
60,5,simplernn,485,1.545741057,1.513174248,29.149021
