iteration,seed,rnn_type,rnn_size,last_perf,min_perf,time
in,in,in,in,out,out,out
int,int,str,int,float,float,float
26,3,lstm,425,1.256053317,1.109419441,45.340324
27,3,lstm,440,1.26428864,1.188631201,40.601566
28,3,lstm,455,1.409543884,1.21656363,39.611083
29,3,lstm,470,1.159950161,1.015623271,50.685355
30,3,lstm,485,1.478504682,1.267747152,40.548136
1,4,lstm,50,1.197224915,1.062321293,38.455954
2,4,lstm,65,1.273105896,1.157831168,39.856335
3,4,lstm,80,1.211778021,1.116149199,43.446818
4,4,lstm,95,1.289480221,1.154255283,37.935252
5,4,lstm,110,1.238199317,1.116076136,38.295223
6,4,lstm,125,1.222875988,1.087914908,39.479485
7,4,lstm,140,1.292112815,1.223739898,41.346345
8,4,lstm,155,1.226620495,1.072262228,38.567556
9,4,lstm,170,1.24192977,1.106411779,39.546283
10,4,lstm,185,1.196989524,1.076689696,39.223658
11,4,lstm,200,1.203820169,1.089155364,43.387393
12,4,lstm,215,1.235839927,1.092054415,38.858146
13,4,lstm,230,1.261544001,1.164320636,39.882203
14,4,lstm,245,1.253661537,1.121188319,41.017097
15,4,lstm,260,1.258045161,1.140630996,43.09334
16,4,lstm,275,1.150139594,1.026572156,44.024824
17,4,lstm,290,1.206187797,1.086893833,41.686462
18,4,lstm,305,1.331627357,1.188684368,38.095719
19,4,lstm,320,1.270767879,1.111213756,41.208313
20,4,lstm,335,1.222179663,1.075772905,43.849373
21,4,lstm,350,1.222287011,1.084822273,43.110498
22,4,lstm,365,1.365801346,1.230268192,43.032339
23,4,lstm,380,1.174930334,1.096018231,41.936848
24,4,lstm,395,1.280042994,1.178315556,42.315618
25,4,lstm,410,1.42402823,1.223775983,40.297242
26,4,lstm,425,1.394935191,1.284591866,39.188743
27,4,lstm,440,1.341495109,1.166774106,41.483167
28,4,lstm,455,1.363185406,1.25975821,39.992739
29,4,lstm,470,1.488275099,1.214558494,43.048078
30,4,lstm,485,1.535323572,1.319198859,39.834514
1,5,lstm,50,1.215002871,1.091138589,40.609931
2,5,lstm,65,1.261874032,1.148372924,35.639676
3,5,lstm,80,1.2080814,1.085612476,40.955186
4,5,lstm,95,1.266958332,1.176734805,39.297673
5,5,lstm,110,1.180657804,1.080637658,53.630775
6,5,lstm,125,1.207419538,1.092293251,42.010912
7,5,lstm,140,1.218822062,1.119549596,38.584691
8,5,lstm,155,1.244636559,1.068834019,39.324937
9,5,lstm,170,1.27190752,1.152067161,35.997758
10,5,lstm,185,1.235866082,1.105087173,39.555855
11,5,lstm,200,1.263277161,1.152248156,35.818857
12,5,lstm,215,1.134841073,1.032695663,42.114045
13,5,lstm,230,1.273444569,1.179574502,38.266068
14,5,lstm,245,1.167632055,1.043727887,43.396584
15,5,lstm,260,1.241653013,1.100392151,42.042249
16,5,lstm,275,1.211565626,1.08856101,40.446868
17,5,lstm,290,1.169107389,1.045042288,43.674688
18,5,lstm,305,1.232062578,1.12890712,39.840859
19,5,lstm,320,1.195588899,1.053182375,38.776024
20,5,lstm,335,1.15936296,1.077532768,40.715863
21,5,lstm,350,1.297743595,1.167684758,38.224573
22,5,lstm,365,1.389410138,1.237129688,41.005641
23,5,lstm,380,1.359219837,1.200836957,39.751264
24,5,lstm,395,1.330529726,1.207106423,40.444197
25,5,lstm,410,1.444700813,1.154577649,40.968007
26,5,lstm,425,1.3233042,1.157347095,41.127683
27,5,lstm,440,1.42480309,1.197613084,41.296113
28,5,lstm,455,1.350887275,1.186873913,41.82933
29,5,lstm,470,1.256877148,1.14116894,50.866104
30,5,lstm,485,1.179423726,1.086091971,48.035069
1,6,lstm,50,1.20652554,1.100546134,42.648521
2,6,lstm,65,1.200823486,1.090474951,39.995839
3,6,lstm,80,1.217272413,1.121525383,40.728809
4,6,lstm,95,1.269186497,1.13883487,34.143585
5,6,lstm,110,1.191508675,1.062481284,38.551746
6,6,lstm,125,1.280727267,1.164387167,34.1653
7,6,lstm,140,1.215926969,1.089759207,37.688069
8,6,lstm,155,1.240929079,1.126167762,38.613454
9,6,lstm,170,1.243045807,1.14250232,38.836626
10,6,lstm,185,1.165944231,1.070692945,38.179955
11,6,lstm,200,1.259644103,1.150764275,36.879012
12,6,lstm,215,1.176974213,1.086143398,39.510701
13,6,lstm,230,1.196740091,1.065331256,38.661453
14,6,lstm,245,1.207650137,1.104295743,39.944747
15,6,lstm,260,1.275573325,1.010347021,41.861729
16,6,lstm,275,1.153989327,1.026033306,42.166728
17,6,lstm,290,1.266955352,1.121776867,38.308804
18,6,lstm,305,1.276159632,1.122912502,38.60874
19,6,lstm,320,1.254616332,1.12296679,41.197257
20,6,lstm,335,1.283288693,1.161899137,39.329679
21,6,lstm,350,1.201345479,1.053099287,41.991562
22,6,lstm,365,1.192056346,1.079119647,41.67061
23,6,lstm,380,1.137654471,1.047671688,49.273966
24,6,lstm,395,1.213376629,1.17011894,45.89584
25,6,lstm,410,1.265183675,1.140685892,44.536715
26,6,lstm,425,1.29437995,1.106183827,41.85671
27,6,lstm,440,1.294209361,1.17032479,43.192714
28,6,lstm,455,1.337863851,1.173314762,44.320436
29,6,lstm,470,1.502002668,1.274797583,39.950941
30,6,lstm,485,1.359134555,1.244137132,47.105852
1,7,lstm,50,1.280921328,1.163711715,35.372422
2,7,lstm,65,1.273977757,1.175605512,41.132014
3,7,lstm,80,1.236348259,1.109670758,41.260823
4,7,lstm,95,1.336332715,1.20377605,34.161307
5,7,lstm,110,1.18147037,1.05445112,39.136853
6,7,lstm,125,1.173434246,1.070622885,37.760845
7,7,lstm,140,1.26420604,1.156054771,33.657023
8,7,lstm,155,1.300029457,1.151725459,34.05584
9,7,lstm,170,1.296265924,1.172107697,35.985872
10,7,lstm,185,1.292358851,1.178665733,36.148589
11,7,lstm,200,1.241975093,1.134323895,40.198029
12,7,lstm,215,1.200308692,1.105485296,42.893807
13,7,lstm,230,1.141967797,1.035053229,43.859519
14,7,lstm,245,1.139079988,1.036573189,46.574964
15,7,lstm,260,1.247488248,1.152562916,37.973123
16,7,lstm,275,1.175008607,1.069295883,39.913302
17,7,lstm,290,1.193538952,1.060909784,38.513287
18,7,lstm,305,1.264125454,1.126550865,37.794055
19,7,lstm,320,1.227704215,1.082562947,40.398498
20,7,lstm,335,1.173260498,1.103163958,39.487577
21,7,lstm,350,1.229208255,1.048192608,40.624516
22,7,lstm,365,1.209331214,1.053391075,41.132111
23,7,lstm,380,1.357240582,1.168615854,40.087504
24,7,lstm,395,1.151646459,0.987077928,45.850328
25,7,lstm,410,1.323940229,1.145203769,49.883284
26,7,lstm,425,1.263246095,1.116139066,39.727601
27,7,lstm,440,1.159510815,1.022781372,46.450083
28,7,lstm,455,1.305113292,1.128640521,43.512868
29,7,lstm,470,1.435221624,1.247063601,40.947239
30,7,lstm,485,1.291761351,1.147317481,41.212432
1,8,lstm,50,1.270559895,1.1760337,36.238425
2,8,lstm,65,1.199425483,1.065263128,41.633608
3,8,lstm,80,1.218101025,1.079149616,38.711255
4,8,lstm,95,1.28466326,1.163981974,37.930554
5,8,lstm,110,1.212557232,1.110973465,35.658261
6,8,lstm,125,1.299122965,1.18742646,35.008659
7,8,lstm,140,1.244449556,1.083541799,36.739243
8,8,lstm,155,1.228344774,1.045892251,37.303265
9,8,lstm,170,1.213842773,1.085869944,42.53067
10,8,lstm,185,1.295051777,1.197720802,37.049574
11,8,lstm,200,1.257568622,1.146134317,37.315874
12,8,lstm,215,1.324433041,1.224093616,35.589387
13,8,lstm,230,1.309007156,1.236450315,40.673313
14,8,lstm,245,1.160021639,1.039059615,44.726794
15,8,lstm,260,1.259274483,1.112271881,38.091376
16,8,lstm,275,1.141874385,1.00307622,40.261049
17,8,lstm,290,1.252316427,1.094785285,37.577926
18,8,lstm,305,1.285440588,1.12733165,39.766204
19,8,lstm,320,1.219541931,1.10768131,42.851523
20,8,lstm,335,1.328196514,1.080338109,38.892434
21,8,lstm,350,1.265268791,1.105196214,37.772631
22,8,lstm,365,1.271465075,1.111007702,40.801357
23,8,lstm,380,1.23303678,1.098476243,40.54883
24,8,lstm,395,1.219625473,1.109328842,41.837626
25,8,lstm,410,1.215752089,1.065510798,41.566812
26,8,lstm,425,1.290941429,1.110712755,40.814142
27,8,lstm,440,1.229332268,1.068423176,43.60546
28,8,lstm,455,1.278829467,1.166732919,39.675724
29,8,lstm,470,1.28710717,1.12202754,41.887297
30,8,lstm,485,1.376445413,1.240178812,41.811237
1,9,lstm,50,1.249186301,1.127112293,43.053511
2,9,lstm,65,1.294462276,1.207783532,35.932353
3,9,lstm,80,1.26109463,1.153876901,41.897731
4,9,lstm,95,1.22833221,1.088354337,36.314614
5,9,lstm,110,1.22570312,1.05784713,38.709179
6,9,lstm,125,1.245061803,1.122005641,33.397188
7,9,lstm,140,1.184311211,1.052117908,37.188457
8,9,lstm,155,1.238455582,1.122349215,36.28123
9,9,lstm,170,1.187766707,1.076481795,40.862059
10,9,lstm,185,1.232277524,1.100846303,39.471091
11,9,lstm,200,1.177343857,1.049318731,42.480455
12,9,lstm,215,1.257361507,1.161512482,37.529486
13,9,lstm,230,1.212816024,1.052763784,40.761812
14,9,lstm,245,1.235071695,1.130574894,41.288137
15,9,lstm,260,1.212429047,1.094079041,39.186275
16,9,lstm,275,1.123093975,1.017436004,38.932213
17,9,lstm,290,1.347158325,1.1319453,35.576987
18,9,lstm,305,1.243385184,1.10730865,38.669511
19,9,lstm,320,1.19807061,1.091033149,38.935037
20,9,lstm,335,1.192110312,1.05242511,41.84339
21,9,lstm,350,1.22947377,1.090710521,40.2052
22,9,lstm,365,1.230146694,1.137143922,41.62272
23,9,lstm,380,1.26651063,1.115504622,39.561683
24,9,lstm,395,1.224260354,1.114055729,39.789587
25,9,lstm,410,1.310244191,1.120245445,42.098434
26,9,lstm,425,1.631428814,1.433092451,39.353811
27,9,lstm,440,1.283935785,1.170392835,42.479195
28,9,lstm,455,1.382411432,1.230840921,40.418774
29,9,lstm,470,1.309731555,1.102819979,42.033579
30,9,lstm,485,1.274866974,1.151856196,43.106237
1,10,lstm,50,1.273694789,1.145345056,48.311399
2,10,lstm,65,1.27391758,1.156304061,50.56525
3,10,lstm,80,1.209845078,1.078262103,52.772019
4,10,lstm,95,1.281944907,1.179305816,48.953372
5,10,lstm,110,1.248308802,1.144736934,49.392258
6,10,lstm,125,1.242678249,1.124876189,65.593331
7,10,lstm,140,1.260153317,1.162130654,38.969985
8,10,lstm,155,1.274123847,1.153502059,40.580921
9,10,lstm,170,1.29070015,1.143623805,33.971585
10,10,lstm,185,1.312934446,1.221424007,40.2794
11,10,lstm,200,1.145557499,1.012264991,44.950239
12,10,lstm,215,1.224017441,1.075805724,49.410354
13,10,lstm,230,1.260671437,1.172203457,51.577055
14,10,lstm,245,1.272807825,1.187337744,39.147371
15,10,lstm,260,1.187593234,1.088489985,50.919463
16,10,lstm,275,1.23714869,1.115879643,40.808656
17,10,lstm,290,1.169652379,1.038763297,40.179985
18,10,lstm,305,1.198405433,1.086410081,42.790149
19,10,lstm,320,1.300443578,1.214870894,42.36752
20,10,lstm,335,1.240573728,1.07400291,43.374383
21,10,lstm,350,1.329637051,1.063035095,44.434608
22,10,lstm,365,1.348102689,1.124604034,61.896962
23,10,lstm,380,1.227537191,1.122928751,51.791239
24,10,lstm,395,1.321354103,1.165046823,54.100857
25,10,lstm,410,1.28182739,1.173714972,52.213621
26,10,lstm,425,1.462969184,1.245417714,47.090751
27,10,lstm,440,1.203311944,1.102959621,50.179745
28,10,lstm,455,1.386568522,1.166776073,52.250077
29,10,lstm,470,1.188702691,1.079763377,55.739334
30,10,lstm,485,1.394970632,1.237979198,49.553938
1,11,lstm,50,1.206426299,1.077848351,40.797785
2,11,lstm,65,1.261439657,1.096329451,35.059644
3,11,lstm,80,1.333159518,1.207177281,40.493882
4,11,lstm,95,1.231013763,1.115237141,40.067028
5,11,lstm,110,1.242791784,1.1156142,38.459546
6,11,lstm,125,1.302586889,1.177023208,30.688063
7,11,lstm,140,1.164817429,1.047349072,45.787172
8,11,lstm,155,1.237510538,1.136083364,39.991049
9,11,lstm,170,1.223746872,1.115002835,39.958066
