MSE,MAE,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13
1.963022247353551,1.175875186920166,3.341499,4.041651,2.1447659,2.4600163,3.044614,3.0487385,2.9746687,2.4956326,2.5429926,2.7806263,2.6113315,2.2569826,3.740788,2.4767737

1.963022247353551,1.175875186920166,3.341499,4.041651,2.1447659,2.4600163,3.044614,3.0487385,2.9746687,2.4956326,2.5429926,2.7806263,2.6113315,2.2569826,3.740788,2.4767737
0,0,4.6,4.6,4.6,3.3,1.4,1.3,4.4,2.6,3.5,3.9,2.6,2.1,5.6,4.8
